579	803	904	455	866	29	663	538	50	929	
655	735	622	775	986	999	504	904	412	338	
28	197	732	701	961	327	621	75	37	111	
813	607	432	704	318	8	493	65	955	406	
300	583	893	4	299	907	400	663	895	632	
487	774	229	287	607	283	605	798	947	937	
514	798	155	853	883	580	178	858	78	59	
792	536	773	80	534	677	89	278	600	367	
951	227	511	800	152	603	704	498	533	259	
479	813	675	336	160	304	379	905	727	708	
861	178	790	271	398	827	847	56	807	937	
331	462	968	155	51	741	77	727	853	203	
136	958	201	480	224	37	707	973	600	134	
556	975	394	190	837	444	30	912	763	549	
277	530	609	860	939	862	258	32	829	613	
