12099	5713	23665	20451	15625	5203	4781	10664	4753	25216	
22052	1681	29226	7154	28497	32701	30924	28887	30847	1500	
21943	3968	29323	13029	9559	9141	5867	25607	29547	24652	
2799	12257	10342	18170	22599	3317	26133	8808	20166	15450	
6019	26249	13158	19634	14362	27436	24715	18780	5642	13517	
15244	27115	5103	16305	9071	21974	11694	306	15604	20592	
17567	4951	16342	24859	30450	16039	10573	19385	1611	22079	
30679	28004	4528	6691	21560	20831	9893	5074	19391	4684	
28053	8477	32716	23455	30068	8504	28303	8018	25251	30738	
14610	21467	1300	23522	2682	20059	6574	8450	1162	3352	
15091	30721	21864	1581	17632	20980	23204	20096	12308	24332	
30070	11509	10293	23406	29767	28129	24976	7742	13683	2754	
29183	7933	26446	31277	12560	25878	2405	15367	25443	5555	
4870	30200	13652	5077	25346	13341	18650	26276	23729	8701	
23215	23044	22071	20415	17074	3432	15366	22426	21385	25835	
3492	30604	23946	4253	6063	29519	22748	7706	3870	21129	
31449	18530	29129	20291	15031	31204	20524	2204	2408	13532	
25703	19902	16574	21983	6794	5394	3539	25780	28176	29616	
23208	26470	16553	10522	31500	27543	3645	4905	8384	14871	
8749	7751	23256	26806	12764	1503	9316	15958	110	30994	
18000	7492	28623	30636	4233	26568	8951	31574	11873	4858	
5485	16653	6709	23512	19466	18130	29773	21142	768	20899	
16643	12341	32027	4011	21032	10839	22598	10934	24483	14674	
2896	24295	4955	1155	28912	27053	3160	26853	1031	25843	
7461	19937	12582	25239	18808	15464	24912	23582	18196	27712	
8705	19110	1519	15259	3694	31515	912	17646	24079	29358	
28092	1792	15451	30595	22609	21314	19923	4522	2674	30302	
1601	6225	9956	20242	13378	7992	13240	18239	26114	22629	
17707	25405	2887	15896	20426	23410	30897	6401	26074	29731	
12352	14001	25590	1929	4886	25679	20730	30248	24702	396	
29984	29020	9774	16344	27753	21557	1481	25047	14399	32388	
29608	3854	5208	26166	21210	4067	4829	21217	4713	1476	
17356	30621	12255	29606	27547	24341	17161	10929	3358	24030	
30459	28473	19114	32519	5204	27121	25211	7921	196	14683	
19027	10336	22475	14211	11876	10195	195	18413	22384	10513	
26144	16844	15407	4869	12791	19060	16881	30155	13245	13330	
28804	32523	21330	13467	7512	2182	13629	2306	20961	29934	
29754	22702	28989	20219	5106	27947	24855	24251	4361	4640	
14795	10538	12893	12673	16842	3586	32653	5	14401	30676	
185	19931	13045	21080	11145	20377	4977	15106	8561	29557	
22372	8149	9011	5815	18501	16508	23973	12142	20024	17815	
29620	15970	27189	25171	27049	7499	7015	13373	21931	32064	
13266	21848	31109	10610	24633	21612	10666	25114	26431	1954	
